,Country_Name,Access to electricity (% of population),"Air transport, freight (million ton-km)","Air transport, passengers carried","Automated teller machines (ATMs) (per 100,000 adults)","Cost to import, border compliance (US$)","Life expectancy at birth, total (years)","Nurses and midwives (per 1,000 people)",Population growth (annual %),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",People_practicing_open_defecation_percent_of_population_2017,Covid_Deaths_as_of_2_16_2021,Covid_Cases_as_of_2_16_2021,Covid_Recoviers_as_of_2_16_2021
56,El Salvador,100,10.73322,2545105,35.25,128.3,73.096,1.8344,0.509367036,3.89,1.005669853,1758,58023,52688
57,Equatorial Guinea,67.03250122,0,404301.328,10.45,985,58.402,,3.654506773,7.23,2.854071161,87,5694,5426
58,Eritrea,49.61554337,0,89136.81591,,,65.941,1.4397,,1.44,,7,2566,1914
59,Estonia,100,0,62802,67.92,0,78.24390244,11.1558,0.348039138,9.23,0,508,53444,42403
60,Eswatini,76.50398254,0.056064,51633,40.82,134.4,59.401,4.1415,1.011798397,10.04,7.037400055,634,16606,12383
61,Ethiopia,44.97995758,2089.27754,11501244,,120,66.24,0.7135,2.620013482,2.36,22.35029207,2223,148490,129145
62,Faroe Islands,100,,,,,82.54878049,,0.342876364,,,0,2,0
63,Fiji,99.5933609,106.8282,1670216,54.28,319.8,67.341,3.3752,0.684181932,3.32,0,2,56,54
64,Finland,100,957.63859,13364839,34.72,0,81.73414634,,0.132641041,10.78,0,720,51047,40000
65,France,100,4443.789,70188028,98.29,0,82.72439024,11.4707,0.151733989,12.33,0,82962,3548612,250453
66,Gabon,93.03568268,,,,1320,66.187,,2.602954061,8.74,2.953055098,75,12865,11750
67,"Gambia, The",60.3,0,104891.3948,7.55,325.6,61.735,,2.946722281,3.55,1.07685628,138,4469,3912
68,Georgia,100,0.7509,516034,77.62,396.4,73.6,4.7293,-0.039036546,8.25,0,3377,266462,259228
69,Germany,100,7969.86364,109796202.2,,0,80.89268293,,0.300526702,12.91,0,65829,2352766,2161100
70,Ghana,82.39457703,0,467624,11.51,552.9,63.78,4.2001,2.192828837,2.75,18.05632279,555,77046,68713
71,Gibraltar,100,,,,,,,-0.029653353,,0,0,1,1
72,Greece,100,21.909,15125933.52,62.28,0,81.78780488,,-0.202880238,10.18,0,6181,173905,93764
73,Greenland,100,,,,,,,-0.265609141,,0,0,1,0
74,Grenada,95.29198456,,,43.43,1256,72.384,6.2837,0.52175283,9.48,3.54109589,1,148,146
75,Guam,100,,,,,79.859,,0.901084422,,,0,3,0
76,Guatemala,94.69546509,0.107366,145795,36.84,405,74.063,0.0737,1.600385982,2.45,4.68711554,6158,168103,155211
77,Guinea,44,,,2.5,808.6,61.185,,2.833136353,1.11,14.35089416,85,15020,14512
78,Guinea-Bissau,28.66202164,,,4.72,550,58.003,0.6851,2.493771961,5.38,16.86713561,46,2950,2468
79,Guyana,91.84952545,0.100011,26069,20.74,265,69.774,1.0398,0.486803065,6.89,0.612205185,188,8262,7486
80,Haiti,45.27788925,,,2.11,562.5,63.66,0.6798,1.273996399,2.73,19.87758601,247,12192,9363
